NOMBRE CIENTÍFICO;NOMBRE COMÚN;"PHYLLUM /
DIVISIÓN";CLASE;ORDEN;FAMILIA;ENDÉMICA;"DISTRIBUCIÓN REGIONES:
ANT= ANTARTICA
DV= DESVENTURADAS
IP= ISLA DE PASCUA
JF= Arch. JUAN FERNÁNDEZ
SG= SALAS Y GOMEZ
? = Sin datos o de presencia dudosa o requiere confirmación";Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Magallanes continental e insular;Antártica;Isla Pascua;Salas y Gómez;Juan Fernandez;Desventuradas;CATEGORÍA VIGENTE
Alsodes australis;sapo espinudo austral;Chordata;Amphibia;Anura;Alsodidae;NO;XI-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;NT
Alsodes barrioi;sapo de Barros;Chordata;Amphibia;Anura;Alsodidae;SI;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;EN-R
Alsodes cantillanensis;sapo;Chordata;Amphibia;Anura;Alsodidae;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Alsodes gargola;rana de pecho espinoso del Catedral;Chordata;Amphibia;Anura;Alsodidae;NO;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;EN
Alsodes hugoi;sapo de Hugo;Chordata;Amphibia;Anura;Alsodidae;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;VU
Alsodes igneus;rana de pecho espinoso de Tolhuaca;Chordata;Amphibia;Anura;Alsodidae;SI;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;VU
Alsodes kaweshkari;sapo kawaskar;Chordata;Amphibia;Anura;Alsodidae;SI;XI-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;DD
Alsodes laevis;sapo de pecho espinoso de Potrero;Chordata;Amphibia;Anura;Alsodidae;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Alsodes montanus;sapo de monte;Chordata;Amphibia;Anura;Alsodidae;SI;RM-VI;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-R
Alsodes monticola;sapo;Chordata;Amphibia;Anura;Alsodidae;SI;XI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;NT
